Age,Gender,Location,Total_Spend,Company_Type,Avg_Visits_Per_Month,Last_Interaction_Days,Subscription_Type,Auto_Payment,Customer_Support_Calls,Complaints_Filed,Satisfaction_Score,Purchases_Per_Year,Days_Since_Last_Purchase,Churn_Label
42,0,2,0.0,0,9,326,1,0,1,0,9,42,194,1
41,0,5,83807.86,0,24,127,0,1,0,3,5,54,150,0
42,0,2,159660.8,0,20,179,1,0,8,4,4,43,242,1
39,0,2,0.0,0,6,259,1,0,0,3,1,86,144,0
43,0,5,125510.82,0,25,259,1,0,2,3,9,76,12,0
44,1,5,113755.78,0,15,182,2,1,5,4,4,11,318,1
50,1,2,0.0,0,20,34,2,0,3,3,4,50,218,0
29,0,3,115046.74,0,14,186,1,1,8,2,2,32,241,1
44,1,2,142051.07,0,25,235,2,0,9,3,3,84,143,0
27,1,2,134603.88,0,5,3,0,0,6,3,5,40,53,0
31,1,2,102016.72,0,25,221,0,1,5,1,9,85,152,0
24,1,5,0.0,0,1,21,2,0,8,2,4,36,97,0
34,0,2,0.0,0,21,85,0,0,4,4,2,55,112,0
25,0,2,0.0,0,17,3,1,0,3,0,5,87,189,0
35,0,5,0.0,0,16,165,2,1,0,1,9,42,95,0
45,1,3,143129.41,0,1,17,2,0,1,1,8,46,63,0
58,1,3,132602.88,0,21,266,0,1,1,1,4,2,29,1
24,0,5,0.0,0,11,300,2,1,2,0,1,42,223,0
45,1,5,0.0,0,26,51,1,0,2,0,7,36,271,0
24,0,2,0.0,0,1,136,1,1,3,4,7,74,18,0
41,1,2,0.0,0,25,170,0,0,7,3,4,81,168,0
32,0,5,0.0,0,10,114,1,1,4,1,5,61,314,0
38,0,5,0.0,0,13,204,0,1,1,1,5,46,96,1
46,1,2,0.0,0,9,14,0,1,4,2,4,69,274,0
38,0,2,0.0,0,1,145,0,1,4,0,9,24,316,0
25,1,2,0.0,0,23,249,0,1,9,0,9,5,288,0
36,1,3,136815.64,0,10,17,1,1,1,1,6,29,229,0
44,1,2,0.0,0,6,350,2,0,5,2,8,49,309,0
43,0,3,141349.43,0,2,172,2,1,1,2,2,36,78,0
29,1,2,59697.17,0,6,269,1,0,9,0,9,90,205,0
39,0,5,0.0,0,1,6,1,1,1,3,4,22,17,1
36,1,2,85311.7,0,24,211,2,1,8,4,4,81,269,0
41,1,3,110112.54,0,14,26,2,0,1,3,2,11,11,0
42,0,5,0.0,0,21,205,2,1,5,3,5,22,107,0
29,0,5,0.0,0,7,245,2,0,3,4,4,51,311,0
45,0,2,134264.04,0,10,158,0,1,1,2,8,79,315,1
31,1,5,145260.23,0,10,124,1,1,1,0,9,6,66,0
33,1,5,76548.6,0,18,230,1,1,9,0,7,3,49,0
36,1,2,0.0,0,7,306,2,0,8,0,3,36,72,0
41,1,3,70349.48,0,9,279,2,0,5,1,7,66,193,0
40,1,5,0.0,0,6,197,1,0,4,2,2,80,90,0
51,0,2,122522.32,0,4,11,0,0,1,0,8,20,92,1
61,0,2,117419.35,0,18,254,2,0,8,0,8,14,82,0
49,0,2,131394.56,0,26,273,0,1,7,2,9,21,3,1
61,0,5,155931.11,0,9,361,0,1,3,3,4,28,328,0
32,0,3,109421.13,0,1,276,2,0,8,2,8,88,302,0
27,0,3,112045.67,0,6,30,1,1,9,0,4,88,302,1
39,0,3,137843.8,0,13,83,2,0,8,4,9,81,39,1
38,1,3,103391.38,0,27,287,2,0,9,1,7,32,291,0
37,0,3,103769.22,0,21,199,2,1,7,4,4,31,283,0
